Date,Close,Open,High,Low
01-01-2014,9462.8,9548.5,9558.35,9453.2
02-01-2014,9478.35,9475.3,9546.3,9445.55
03-01-2014,9673.2,9456.45,9684,9431.7
06-01-2014,9640.75,9707.35,9709.45,9569.65
07-01-2014,9522.75,9648.7,9648.7,9507.85
08-01-2014,9531.55,9539.15,9608.9,9519.25
09-01-2014,9575.85,9546.9,9606,9518.4
10-01-2014,9782.7,9664.4,9848.35,9602.6
13-01-2014,10060.15,9831.55,10080.95,9831.55
14-01-2014,9996.8,10042.65,10067.25,9964.25
15-01-2014,10065.95,10040.3,10105.5,10000.25
16-01-2014,10127.75,10089.25,10153.75,10043.65
17-01-2014,9884.35,10072.85,10078.95,9867.8
20-01-2014,10154,9872.2,10165.9,9872.2
21-01-2014,10095.55,10155.15,10158.45,10062.4
22-01-2014,10112.8,10078.2,10140.4,10051.6
23-01-2014,10086.35,10116.6,10123.95,10008.55
24-01-2014,10010.5,10036.6,10143,9997.35
27-01-2014,9938.65,9926.75,10012.8,9905.55
28-01-2014,9837.95,9906.5,9929.75,9807.7
29-01-2014,9896.7,9861.35,9945.6,9825.4
30-01-2014,9878.75,9860.25,9903.05,9771.55
31-01-2014,9957.45,9895.05,10021.1,9880.55
03-02-2014,9792.1,9897.25,9923.1,9783.5
04-02-2014,9611.65,9686.8,9686.8,9522.45
05-02-2014,9718.45,9677.9,9729.75,9585.25
06-02-2014,9696.05,9700.4,9732.3,9599.45
07-02-2014,9648.4,9754.3,9778.6,9595.45
10-02-2014,9619.25,9668.4,9677.45,9605.8
11-02-2014,9710.25,9639.4,9769.05,9639.4
12-02-2014,9739.8,9747.75,9786,9725.15
13-02-2014,9721.35,9752.25,9767,9697.25
14-02-2014,9855.45,9770.05,9870.5,9751.5
17-02-2014,9867.5,9898.1,9931,9841.2
18-02-2014,9884.85,9859.65,9920.85,9859.65
19-02-2014,10033.05,9912,10065.75,9912
20-02-2014,9971.7,10028.35,10051.8,9962.2
21-02-2014,10101.05,10010.5,10109.85,10010.5
24-02-2014,10067.65,10101,10101,10041.65
25-02-2014,10162.9,10099.9,10173.75,10099.9
26-02-2014,10200.85,10167.1,10212.6,10155.3
28-02-2014,10338.55,10107.7,10353.25,10107.7
03-03-2014,10209.1,10339.8,10398.15,10190.75
04-03-2014,10196.55,10172.8,10251.3,10165.35
05-03-2014,10237.25,10260.2,10301.7,10215.75
06-03-2014,10254.6,10272.4,10300.25,10237.9
07-03-2014,10054.9,10266.05,10272.5,9966
10-03-2014,9809.55,10033.05,10033.05,9792
11-03-2014,9828.6,9803.8,9922.65,9746
12-03-2014,9877.6,9823.8,9921.95,9823.8
13-03-2014,9462.7,9539.3,9637.85,9433.15
14-03-2014,9439.05,9422.85,9509.4,9395.9
18-03-2014,9364.35,9451.1,9480.2,9342.55
19-03-2014,9158.95,9305.25,9305.25,9051.2
20-03-2014,9313.5,9147.05,9387,9147.05
21-03-2014,9370.75,9376.95,9451.3,9257.9
22-03-2014,9377.75,9355.4,9419.7,9342.8
24-03-2014,9365.05,9365.3,9435.7,9339
25-03-2014,9300.6,9308.5,9366.4,9280.35
26-03-2014,9222.9,9318.95,9321.8,9209.9
27-03-2014,9217.1,9234.3,9244.9,9159.95
28-03-2014,9275.35,9245.7,9323.2,9223.2
31-03-2014,9298,9297.95,9325.05,9184.35
01-04-2014,9439.75,9331.5,9458.4,9324.65
02-04-2014,9479.9,9515.05,9542.65,9463.6
03-04-2014,9472,9505.45,9517,9428.55
04-04-2014,9389.4,9511.8,9542.05,9373.4
07-04-2014,9374.45,9355.05,9400.05,9296.1
09-04-2014,9276.9,9360.15,9397.6,9208.75
10-04-2014,9179.2,9277.75,9280.65,9159.9
11-04-2014,9312,9156.45,9350.95,9081.2
15-04-2014,9491.6,9452.6,9554.75,9387.05
16-04-2014,9273.15,9506.8,9506.8,9248.65
17-04-2014,9390.2,9363.05,9407,9240.5
21-04-2014,9330.25,9395.55,9417.6,9317.85
22-04-2014,9279.2,9333.55,9388.45,9267.15
23-04-2014,9272.05,9318.65,9348.9,9260.45
25-04-2014,9275,9311.5,9334.35,9236.3
28-04-2014,9261.3,9271.5,9321.5,9251.85
29-04-2014,9251.6,9264.5,9312.5,9241.65
30-04-2014,9227.95,9242.9,9294.25,9198.6
02-05-2014,9319.55,9219.3,9347.8,9219.3
05-05-2014,9223.55,9288.7,9358.25,9208.2
06-05-2014,9179.7,9219.95,9236.25,9154.45
07-05-2014,8946.55,9153.15,9186.3,8905.35
08-05-2014,8963.6,8959,9010.3,8922.8
09-05-2014,9048.5,8945.75,9091.65,8945.75
12-05-2014,9132.35,9049.85,9157.7,8986.8
13-05-2014,9364.8,9159.25,9404.75,9159.25
14-05-2014,9349.65,9356.2,9384.8,9306.6
15-05-2014,9314.4,9347.85,9362.9,9234.05
16-05-2014,9111.4,9372.75,9493,8946.55
19-05-2014,8675.1,9135.55,9135.55,8609.95
20-05-2014,8878.9,8704.5,8906.8,8704.5
21-05-2014,8952.85,8871.75,8962.05,8858.95
22-05-2014,8929.6,8978.85,8980.5,8876.35
23-05-2014,8941.3,8954.1,9072.4,8841.9
26-05-2014,9061,8986.5,9091.8,8962.5
27-05-2014,9101.85,9082.3,9206.15,9048.5
28-05-2014,9237.25,9106.15,9253.65,9103.8
29-05-2014,8927.4,9075.8,9075.8,8909.45
30-05-2014,8970.3,8941,8992.25,8877.75
02-06-2014,8981.95,9004,9022.6,8963.2
03-06-2014,8976.4,9007.8,9039,8913.95
04-06-2014,8863.9,8974.95,8990.9,8820.8
05-06-2014,8984.6,8877.5,9032.5,8841.8
06-06-2014,8945.1,8943.3,8957.7,8849.05
09-06-2014,9017.7,8948.75,9029.05,8926.3
10-06-2014,9234.6,9043.3,9254.05,9043.3
11-06-2014,9436.4,9290.5,9510,9276.3
12-06-2014,9447.85,9589.2,9605.55,9310.6
13-06-2014,9448.65,9462,9474.15,9339.3
16-06-2014,9579.85,9449,9600.15,9449
17-06-2014,9620.05,9618.75,9678.2,9589.15
18-06-2014,9521.35,9630.85,9660.5,9494.2
19-06-2014,9698.9,9522.2,9712.65,9503.7
20-06-2014,9700.2,9714.5,9736.6,9663.3
23-06-2014,9548.2,9671.55,9695.3,9518.35
24-06-2014,9570.75,9548.65,9588.5,9497.2
25-06-2014,9587.9,9623.4,9643.5,9570.95
26-06-2014,9579.4,9585.75,9648.1,9553.15
27-06-2014,9819.95,9619.45,9828.95,9607.6
30-06-2014,9912.3,9834.15,9921.15,9822.7
01-07-2014,9802.85,9896.8,9897.3,9786.45
02-07-2014,9807.6,9817.65,9849.5,9769.15
03-07-2014,9831.35,9806,9903.55,9805
04-07-2014,9866.95,9829.95,9883.85,9827.25
07-07-2014,10126.25,9922.95,10139.4,9918.5
08-07-2014,10019.7,10146.75,10146.75,9973.15
09-07-2014,9903.3,10041.35,10082.7,9867.35
10-07-2014,9816.2,9906.65,10002.65,9753.1
11-07-2014,9933.55,9992.15,10050.6,9889.65
14-07-2014,9799.65,9944.1,9944.1,9744.3
15-07-2014,9785.75,9815.65,9856.15,9768.55
16-07-2014,9809,9824.2,9846.1,9761.65
17-07-2014,9819.75,9855.95,9982.35,9807.35
18-07-2014,9946.95,9944.85,10019.2,9929.9
21-07-2014,9912.4,9998.65,10018.2,9892.4
22-07-2014,10086.65,9918.8,10103.25,9918.8
23-07-2014,10306.85,10120,10325.5,10120
24-07-2014,10400.15,10323.8,10422.2,10289.6
25-07-2014,10339.7,10343,10355.6,10211.9
28-07-2014,10383.45,10293.7,10405.7,10286.95
30-07-2014,10361.05,10395.55,10408.3,10311.7
31-07-2014,10304.7,10348.05,10351.8,10279.55
01-08-2014,10155.3,10227.55,10307,10141.15
