Date,Close,Open,High,Low
01-01-2014,7667.3,7663.35,7686.9,7651.6
02-01-2014,7625.1,7662.3,7744.2,7611.15
03-01-2014,7663.1,7616.25,7674,7569.55
06-01-2014,7697.25,7703.9,7716.65,7666.45
07-01-2014,7714.15,7728.5,7763.2,7678.7
08-01-2014,7806.6,7745.85,7835.1,7724.3
09-01-2014,7861.85,7819.25,7871.3,7807.6
10-01-2014,7880.35,7868.65,7928,7857.5
13-01-2014,7828.35,7880.1,7910.65,7747.85
14-01-2014,7884.8,7818.05,7901.5,7803
15-01-2014,7889,7901.65,7947.35,7877.9
16-01-2014,7816.8,7906.3,7911,7806.6
17-01-2014,7816.1,7812.6,7877.45,7788.35
20-01-2014,7812.6,7809.4,7848.2,7781.4
21-01-2014,7772.55,7833.5,7837.5,7760.7
22-01-2014,7895.2,7779.75,7916.25,7753.4
23-01-2014,7921.45,7902.8,7957.35,7899.1
24-01-2014,7811.95,7874.9,7911.5,7797.75
27-01-2014,7742.95,7748.15,7830.65,7718.8
28-01-2014,7665.9,7752.55,7800.1,7656.1
29-01-2014,7716.2,7708.5,7815,7694.55
30-01-2014,7683.45,7703.05,7705.3,7619.25
31-01-2014,7701.2,7707.85,7726.6,7661.35
03-02-2014,7788,7693,7817.35,7693
04-02-2014,7737.05,7797.4,7803.55,7723.2
05-02-2014,7741.05,7752.6,7767.25,7727.95
06-02-2014,7739.9,7769.25,7801.6,7717.9
07-02-2014,7872,7793.45,7882,7777.3
10-02-2014,7932.5,7908.15,7972.2,7903.95
11-02-2014,7895.6,7974.95,7974.95,7882.55
12-02-2014,7878,7943.45,7943.45,7869.25
13-02-2014,7737.1,7840.6,7895.75,7722.05
14-02-2014,7725.7,7790.45,7810.25,7681.3
17-02-2014,7773.45,7731.65,7785.8,7731.65
18-02-2014,7797.4,7784.05,7832.4,7774.25
19-02-2014,7888.15,7817.8,7899.15,7817.8
20-02-2014,7901.4,7867.7,7933.55,7864.3
21-02-2014,7903.3,7939.35,7952.35,7890.85
24-02-2014,8004.65,7891.5,8011.5,7885.85
25-02-2014,8001.75,8020,8042,7992.15
26-02-2014,8085.3,8034.25,8125.85,8031.5
28-02-2014,8276.5,8100.25,8305.4,8100.25
03-03-2014,8122.95,8287,8305.1,8106.05
04-03-2014,8081.25,8112.75,8143.3,8048.1
05-03-2014,8065.85,8119.5,8169.35,8058.9
06-03-2014,8046.1,8077.15,8119.6,8034.4
07-03-2014,7897.85,8079.2,8080.4,7844.15
10-03-2014,7751.7,7880.9,7880.9,7727.75
11-03-2014,7686.65,7761.15,7782.55,7676.15
12-03-2014,7786.6,7704.35,7819.7,7704.35
13-03-2014,7690.25,7816.85,7822.6,7674
14-03-2014,7767.2,7668.05,7778.8,7607.9
18-03-2014,7772,7805.35,7813.7,7733.95
19-03-2014,7807.85,7814.6,7852.1,7792.55
20-03-2014,7820.95,7782.3,7874.65,7779
21-03-2014,7787.1,7840.9,7842.55,7781.05
22-03-2014,7836.5,7799.6,7852.75,7785.45
24-03-2014,7788.95,7830.75,7868.7,7781.85
25-03-2014,7789.85,7797.8,7830.55,7776.5
26-03-2014,7628.6,7824.2,7824.2,7617.55
27-03-2014,7556.85,7659.05,7680.1,7523.15
28-03-2014,7632.3,7618.75,7639.1,7581.85
31-03-2014,7630.4,7677.15,7690.45,7588.6
01-04-2014,7661.5,7659.8,7681.2,7625.8
02-04-2014,7761.2,7682,7809.85,7676.65
03-04-2014,7840.6,7773.15,7847.75,7773.15
04-04-2014,7843.25,7859.1,7903.2,7822.35
07-04-2014,7825.45,7886.05,7915.4,7763.05
09-04-2014,8029.25,7876.9,8051.1,7854.8
