Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
3,3,LSTM,0.016862671182337613,0.1298563482558231,0.6393314410619564,22.547578055480578,Continuous
3,3,SimpleRNN,0.0008121355865014178,0.02849799267494849,0.9826295746101856,45.35760678708091,Continuous
3,3,GRU,0.0008972548551079972,0.029954212643766773,0.9808089944889086,44.78836497808425,Continuous
3,3,LSTM,0.018161641773758105,0.13476513560175016,0.6115483071655163,21.030988849248153,Discrete
3,3,SimpleRNN,0.006112895575814432,0.07818500863857746,0.8692538557843065,37.88647652885495,Discrete
3,3,GRU,0.002418551138764831,0.04917876715377106,0.9482706301686094,40.42741641765322,Discrete
3,5,LSTM,0.002289596573223804,0.047849729082031424,0.9508917727236172,40.61655056199517,Continuous
3,5,SimpleRNN,0.003028407038822177,0.05503096436391222,0.9350454560916485,39.70221108138126,Continuous
3,5,GRU,0.008880036433663313,0.09423394523027948,0.8095372553808101,37.140474828383425,Continuous
3,5,LSTM,0.012858675818812965,0.1133961014268699,0.7242017296984005,29.103784156216662,Discrete
3,5,SimpleRNN,0.005589039230508204,0.07475987714347987,0.8801239432316412,38.08542763217557,Discrete
3,5,GRU,0.011381885565825174,0.10668592018549203,0.7558765462278286,32.662696471701025,Discrete
3,8,LSTM,0.00923775569749816,0.09611324413158762,0.8017943151877105,37.06872922835469,Continuous
3,8,SimpleRNN,0.000832057782656477,0.028845411812911895,0.9821473323158474,45.21656859366103,Continuous
3,8,GRU,0.00322396168992053,0.05677994091156251,0.930826538881912,39.51422667332756,Continuous
3,8,LSTM,0.0031060406591632743,0.05573186394840275,0.9333566576055911,39.625471150166334,Discrete
3,8,SimpleRNN,0.00791068791502627,0.08894204807078747,0.8302679387853127,37.35784800033845,Discrete
3,8,GRU,0.003176509988464801,0.05636053573614077,0.9318446646356693,39.55825206872433,Discrete
3,14,LSTM,0.0017124983131918637,0.04138234301235086,0.9630975951649945,41.70933107651843,Continuous
3,14,SimpleRNN,0.0008559595718292226,0.02925678676528273,0.9815550378072103,45.053886182518525,Continuous
