Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
5,21,GRU,0.00037,0.01935,0.98747,50.88786,Continuous
14,14,GRU,0.00032,0.01781,0.98591,52.37941,Continuous
8,14,SimpleRNN,0.00037,0.01918,0.98548,51.03834,Continuous
3,3,SimpleRNN,0.00048,0.02197,0.98529,48.83490,Continuous
5,14,GRU,0.00045,0.02124,0.98525,49.35888,Continuous
8,14,GRU,0.00038,0.01945,0.98506,50.79582,Continuous
14,3,GRU,0.00036,0.01900,0.98489,51.20328,Continuous
3,21,SimpleRNN,0.00051,0.02253,0.98362,48.45557,Continuous
21,21,GRU,0.00032,0.01776,0.98334,52.42656,Continuous
3,55,GRU,0.00045,0.02131,0.98333,49.30009,Continuous
3,55,SimpleRNN,0.000461362,0.02147935,0.983074017,49.17980555,Continuous
14,3,GRU,0.000423316,0.020574637,0.982285214,49.8619385,Discrete
3,14,SimpleRNN,0.000623635,0.024972691,0.98014125,47.00796102,Continuous
21,8,GRU,0.000428117,0.020690992,0.978220021,49.76947711,Continuous
5,21,SimpleRNN,0.000663438,0.025757293,0.977792811,46.60058288,Continuous
3,14,SimpleRNN,0.000729889,0.027016458,0.976757757,45.99707755,Discrete
5,3,SimpleRNN,0.000740853,0.027218614,0.976294406,45.90528584,Continuous
21,5,GRU,0.000522755,0.022863836,0.973746318,48.23697939,Continuous
8,3,GRU,0.000690465,0.026276699,0.973586969,46.34337268,Continuous
5,55,GRU,0.000681013,0.026096218,0.973392618,46.43104041,Continuous
5,55,SimpleRNN,0.000683759,0.026148782,0.973285323,46.40532814,Continuous
21,3,GRU,0.000550959,0.023472522,0.972610589,47.8585392,Continuous
21,21,SimpleRNN,0.000526263,0.022940422,0.972216781,48.18779822,Continuous
14,55,SimpleRNN,0.000522668,0.022861935,0.972113233,48.23764725,Continuous
21,5,GRU,0.000562285,0.023712552,0.971761045,47.71450601,Discrete
21,8,GRU,0.0005567,0.023594499,0.971678493,47.78481289,Discrete
8,3,GRU,0.000742713,0.027252762,0.971588269,45.88837214,Discrete
14,5,LSTM,0.000672495,0.025932506,0.97158339,46.51107483,Discrete
8,8,SimpleRNN,0.000754604,0.02747005,0.970673756,45.791319,Continuous
8,3,SimpleRNN,0.000768042,0.027713576,0.970619324,45.68467241,Continuous
21,5,SimpleRNN,0.000588289,0.024254662,0.970455104,47.39988069,Continuous
5,8,LSTM,0.000920586,0.030341168,0.970232162,44.64291758,Continuous
14,5,GRU,0.000707328,0.026595641,0.970111495,46.19008624,Continuous
14,21,SimpleRNN,0.000677589,0.026030541,0.968591089,46.46166802,Discrete
3,21,GRU,0.000981157,0.031323431,0.968349268,44.29777756,Continuous
5,21,SimpleRNN,0.000950525,0.030830592,0.968183171,44.46783316,Discrete
21,8,SimpleRNN,0.000633571,0.025170832,0.967767798,46.89876397,Discrete
8,8,GRU,0.000838429,0.028955635,0.967416049,45.16766942,Continuous
55,5,GRU,0.000467137,0.02161336,0.966437679,49.07803863,Discrete
8,55,GRU,0.000686223,0.026195864,0.966397376,46.38012067,Continuous
3,55,SimpleRNN,0.000919419,0.030321931,0.966269304,44.64856651,Discrete
55,14,GRU,0.00047999,0.021908673,0.966070032,48.87003114,Continuous
21,14,LSTM,0.000661973,0.025728832,0.965672288,46.61085825,Discrete
5,3,GRU,0.001087748,0.032981031,0.965194549,43.76188467,Discrete
21,8,LSTM,0.000697567,0.026411489,0.964512075,46.2756076,Continuous
55,21,GRU,0.000527281,0.02296261,0.963210941,48.17075602,Discrete
14,14,SimpleRNN,0.000833494,0.0288703,0.962959072,45.20021071,Continuous
8,21,GRU,0.000919038,0.030315633,0.962770496,44.64968383,Discrete
5,5,SimpleRNN,0.001173542,0.034257001,0.962278772,43.38446404,Continuous
14,55,GRU,0.000719863,0.026830254,0.961591994,46.07764981,Continuous
14,21,SimpleRNN,0.000847058,0.029104265,0.960735527,45.10665363,Continuous
55,8,GRU,0.000551703,0.023488368,0.960575848,47.84494665,Continuous
14,5,SimpleRNN,0.000946858,0.030771058,0.959990036,44.4860199,Discrete
14,55,GRU,0.000752728,0.02743589,0.959838468,45.80281564,Discrete
21,21,GRU,0.000764684,0.027652929,0.959629694,45.70738804,Discrete
3,8,LSTM,0.00131706,0.036291317,0.958701664,42.83783397,Continuous
14,3,SimpleRNN,0.001001319,0.031643627,0.958097103,44.18667911,Discrete
5,3,GRU,0.001315511,0.036269972,0.957906673,42.84297445,Continuous
5,14,LSTM,0.001290212,0.035919522,0.957794111,42.93260279,Discrete
21,14,GRU,0.000834774,0.028892461,0.956711377,45.1892723,Discrete
21,14,LSTM,0.000841202,0.029003485,0.956378048,45.14499761,Continuous
55,55,GRU,0.000660204,0.025694428,0.955703985,46.62488274,Discrete
55,8,LSTM,0.000624304,0.024986075,0.955387893,46.99256016,Discrete
8,5,SimpleRNN,0.00116199,0.034087973,0.95532696,43.43039573,Continuous
21,8,LSTM,0.000899322,0.029988692,0.954248021,44.7667169,Discrete
21,3,SimpleRNN,0.000926944,0.030445751,0.953919564,44.59974177,Continuous
55,14,GRU,0.000654552,0.025584213,0.953730436,46.68011147,Discrete
21,21,LSTM,0.000889293,0.029821018,0.953051177,44.8288155,Continuous
8,5,GRU,0.001230737,0.035081867,0.952683942,43.15247946,Discrete
3,55,GRU,0.001297194,0.036016584,0.952409898,42.90579909,Discrete
3,8,SimpleRNN,0.00153604,0.039192342,0.951835226,42.15567457,Continuous
55,5,GRU,0.000683914,0.026151746,0.950862985,46.39640942,Continuous
21,14,SimpleRNN,0.00096927,0.031133097,0.949736889,44.35663163,Discrete
14,55,SimpleRNN,0.000942702,0.030703454,0.949702471,44.50644262,Discrete
5,5,LSTM,0.001587024,0.039837465,0.948988213,42.01699561,Discrete
8,55,GRU,0.001052888,0.032448237,0.948442725,43.92225254,Discrete
21,5,SimpleRNN,0.001033522,0.032148435,0.948094704,44.0179361,Discrete
3,5,SimpleRNN,0.001718325,0.04145268,0.947085777,41.69032619,Continuous
21,3,GRU,0.001064973,0.032633924,0.947057822,43.86333893,Discrete
55,8,GRU,0.000754077,0.027460465,0.946114435,45.78736784,Discrete
8,8,SimpleRNN,0.001396283,0.037366876,0.945736083,42.56913533,Discrete
14,5,SimpleRNN,0.00130708,0.036153556,0.944768693,42.86818847,Continuous
14,3,SimpleRNN,0.001344782,0.036671267,0.94372398,42.7376766,Continuous
5,5,LSTM,0.001757883,0.041927113,0.943496279,41.59813712,Continuous
3,5,LSTM,0.001836471,0.042854067,0.943447566,41.42615181,Continuous
5,21,GRU,0.001696819,0.041192458,0.943202583,41.73983037,Discrete
55,3,SimpleRNN,0.000794629,0.028189157,0.942724057,45.47245244,Continuous
8,55,SimpleRNN,0.001224273,0.034989619,0.940050419,43.17331861,Discrete
21,14,GRU,0.001161433,0.034079797,0.939771963,43.42755664,Continuous
21,21,LSTM,0.001181553,0.034373723,0.937621789,43.34320385,Discrete
21,8,SimpleRNN,0.001235127,0.035144369,0.937164316,43.13040821,Continuous
8,8,LSTM,0.001619112,0.040238192,0.937076269,41.92969593,Continuous
3,3,LSTM,0.002086631,0.045679654,0.936392204,40.94265885,Continuous
14,21,GRU,0.001384798,0.037212869,0.935809197,42.60274452,Discrete
55,3,GRU,0.00093093,0.030511144,0.932899607,44.56926983,Continuous
5,3,LSTM,0.002158036,0.046454663,0.930947813,40.81910412,Continuous
14,55,LSTM,0.001311634,0.036216494,0.93001822,42.84724895,Continuous
5,8,LSTM,0.002168905,0.046571503,0.929866869,40.80074167,Discrete
8,14,GRU,0.001889115,0.04346395,0.925448551,41.3110072,Discrete
