Window,Timesteps,Model,MSE,RMSE,R-Squared,Aggregate Metrics,Data_Type
5,3,LSTM,0.00085,0.02914,0.96203,45.09393,Discrete
14,3,LSTM,0.00100,0.03167,0.95528,44.17848,Discrete
8,8,LSTM,0.00101,0.03176,0.95522,44.14581,Discrete
3,55,GRU,0.00103,0.03209,0.95375,44.03769,Continuous
55,55,GRU,0.00106,0.03252,0.95250,43.90070,Continuous
8,8,SimpleRNN,0.00121,0.03481,0.94621,43.22392,Continuous
3,5,LSTM,0.00123,0.03511,0.94494,43.14199,Discrete
55,21,LSTM,0.00137,0.03699,0.93985,42.65735,Continuous
3,5,SimpleRNN,0.00144,0.03795,0.93569,42.42957,Discrete
5,14,GRU,0.00149,0.03854,0.93430,42.29304,Continuous
8,8,GRU,0.001599669,0.039995857,0.929001268,41.97719694,Discrete
8,55,SimpleRNN,0.001643294,0.040537557,0.925923824,41.8648019,Continuous
55,55,LSTM,0.001745101,0.041774412,0.921624183,41.61990769,Continuous
3,3,LSTM,0.001868665,0.043228054,0.916331506,41.34981894,Discrete
21,5,LSTM,0.001920786,0.043826769,0.914800841,41.24396864,Discrete
21,3,SimpleRNN,0.001926238,0.043888923,0.914410717,41.23306771,Continuous
14,3,GRU,0.001961355,0.044287191,0.912516802,41.16413634,Discrete
14,55,GRU,0.002002984,0.044754713,0.909535627,41.08451705,Continuous
3,8,GRU,0.002010932,0.044843412,0.910531487,41.07011707,Discrete
3,8,GRU,0.002019654,0.044940558,0.910143428,41.0539195,Continuous
21,8,GRU,0.00204021,0.045168683,0.909739059,41.016324,Discrete
8,5,GRU,0.002099719,0.04582269,0.906467023,40.90990553,Continuous
8,5,GRU,0.002223187,0.047150683,0.900967084,40.70318924,Discrete
5,3,GRU,0.002226472,0.047185505,0.900426699,40.69779188,Discrete
55,5,LSTM,0.002256835,0.047506155,0.900166833,40.6500236,Continuous
21,55,GRU,0.00234178,0.048391939,0.894069377,40.51955605,Continuous
14,3,GRU,0.002345941,0.048434918,0.89536294,40.51387486,Continuous
55,21,GRU,0.002361472,0.048594984,0.896199988,40.49148518,Continuous
3,8,LSTM,0.002388762,0.048874967,0.893721388,40.45136447,Discrete
8,8,GRU,0.002420565,0.049199238,0.892567092,40.40602835,Continuous
8,8,SimpleRNN,0.002426,0.049254446,0.892325851,40.39835389,Discrete
14,21,GRU,0.002432222,0.049317563,0.892676442,40.38980946,Discrete
21,3,LSTM,0.002446591,0.049463027,0.891289643,40.3694702,Discrete
14,8,GRU,0.002491692,0.04991685,0.88947749,40.30759761,Continuous
55,8,LSTM,0.002500634,0.050006341,0.889657712,40.29570728,Continuous
55,21,SimpleRNN,0.002606751,0.051056352,0.885418611,40.1572067,Continuous
14,8,LSTM,0.002613748,0.051124825,0.884063534,40.14801092,Discrete
55,55,SimpleRNN,0.002621736,0.051202889,0.882252871,40.13746695,Continuous
14,14,GRU,0.00262226,0.051208005,0.884157434,40.13745145,Discrete
5,5,GRU,0.002634411,0.051326518,0.88249618,40.12186745,Discrete
55,8,GRU,0.002657526,0.051551202,0.882734725,40.09364152,Discrete
21,5,SimpleRNN,0.002660272,0.051577826,0.881999879,40.09005887,Continuous
3,55,SimpleRNN,0.002666938,0.051642405,0.880252265,40.08139459,Discrete
55,5,GRU,0.00266948,0.051667006,0.881913111,40.07887487,Continuous
55,5,GRU,0.002788995,0.052810933,0.87662625,39.93736644,Discrete
3,5,GRU,0.002793667,0.052855153,0.87522391,39.93161842,Discrete
3,21,SimpleRNN,0.002810314,0.053012392,0.87568318,39.9130657,Discrete
14,3,SimpleRNN,0.002829135,0.053189609,0.87381086,39.89149181,Discrete
8,21,GRU,0.002842547,0.053315543,0.874437878,39.87689808,Discrete
21,8,GRU,0.00290505,0.05389852,0.871477646,39.80828762,Continuous
14,5,GRU,0.002905366,0.053901445,0.870737145,39.80770513,Discrete
21,14,GRU,0.002909375,0.053938619,0.871307779,39.80363333,Discrete
8,14,GRU,0.00294088,0.054229877,0.87004495,39.77002152,Continuous
3,21,GRU,0.002952371,0.054335729,0.869399128,39.7578319,Discrete
3,3,GRU,0.002956733,0.054375845,0.86761383,39.75271082,Discrete
21,21,GRU,0.002960015,0.054406017,0.869772144,39.75003075,Continuous
14,14,LSTM,0.002978177,0.054572679,0.868434198,39.73087383,Discrete
21,5,GRU,0.003019175,0.054947017,0.866080248,39.68847677,Continuous
14,3,LSTM,0.003131924,0.055963591,0.860305428,39.57635526,Continuous
5,8,GRU,0.003139696,0.056032988,0.860492645,39.56904085,Continuous
8,3,LSTM,0.003187407,0.056457124,0.857637957,39.52339818,Discrete
8,55,GRU,0.003202661,0.056592053,0.855630882,39.50865211,Continuous
14,14,GRU,0.003215288,0.056703507,0.857959466,39.49785102,Continuous
21,14,SimpleRNN,0.003253421,0.057038767,0.856089357,39.46267503,Discrete
55,21,GRU,0.003260256,0.057098655,0.856693371,39.45674688,Discrete
14,5,LSTM,0.003302263,0.057465318,0.85307877,39.41829308,Discrete
3,14,GRU,0.003303836,0.057479007,0.853834959,39.41716368,Discrete
5,3,SimpleRNN,0.00332254,0.057641482,0.851407818,39.40000835,Discrete
5,21,GRU,0.003389559,0.058219919,0.850163245,39.34213842,Continuous
3,8,SimpleRNN,0.003422813,0.05850481,0.847715371,39.31344236,Continuous
5,14,SimpleRNN,0.003454098,0.058771576,0.847246307,39.28742466,Continuous
5,14,GRU,0.003477551,0.058970764,0.846209132,39.26792152,Discrete
5,55,GRU,0.003478939,0.058982529,0.843518199,39.26589705,Continuous
8,5,SimpleRNN,0.003495487,0.059122647,0.844291851,39.25276136,Discrete
14,3,SimpleRNN,0.003497756,0.059141826,0.84398806,39.25083182,Continuous
